Central Location,Longitude,Latitude,Note
"11999 Sandy Bottom Dr, South Lyon, MI 48178, USA",-83.70495439999999,42.4563444,
Location,Longitude,Latitude,Note
"Detroit, Mi",-83.0457538,42.331427,
"Novi, Mi",-83.4754913,42.48059,
"Ann Arbor, Mi",-83.7430378,42.2808256,
"Lansing, Mi",-84.5555347,42.732535,
